1000,8257537,101,101,5.1.1.,dj nagureo,PIANO AMBIENT,,,f,
1218,1,0,0,The Rhyme Brokers,m-flo,JAPANESE HIPHOP,The Rhyme Brokers,,f,
1013,8257537,149,149,BRILLIANT 2U,NAOKI,EURO GROOVE,,,f,
1015,8257537,126,126,DEEP IN YOU,dj nagureo,DANCE POP,,,f,
1017,8257537,168,168,RUGGED ASH,SYMPHONIC DEFOGGERS,FUTURE JAZZ,,,f,
1019,8257537,132,132,KEEP ON MOVIN',N.M.R.,DANCE POP,,,f,
1020,8257537,190,190,PARANOiA MAX (DIRTY MIX),190,JUNGLE,,,f,
2000,8257537,123,134,0.59,dj TAKA,CHILL OUT,,,f,
2002,8257537,139,139,Dancin' Into The Night,good-cool,DISCO,,,f,
2003,8257537,154,154,Digital MinD (A/T Libra mix),TaQ,MINIMAL,,,f,
2005,8257537,125,125,Electro Tuned(the SubS mix),TaQ,BIG BEAT,,,f,
2006,8257537,124,124,I Was The One,good-cool,ITALO HOUSE,,,f,
2008,8257537,154,154,Indigo Vision(full flavour hide around mix),TaQ,GOA TRANCE,,,f,
2012,8257537,167,167,SP-TRIP MACHINE(for beatmania II),dj TAKA feat. DE-SIRE,JUNGLE,,,f,
2016,8257537,126,126,PUT YOUR FAITH IN ME(for beatmania II),dj TAKA feat. UZI-LAY,JAZZ FUNK,,,f,
3000,8257537,154,154,CAN'T STOP FALLIN'IN LOVE,NAOKI,HYPER EUROBEAT,,,f,
1219,1,0,0,"The Theme from ""Flo-jack""",m-flo,HIPHOP,"The Theme from ""Flo-jack""",,f,
1220,1,0,0,YOU MAKE ME,MONDAY MICHIRU,JAZZ HOUSE,YOU MAKE ME,,f,
1401,1,0,0,NaHaNaHa vs. Gattchoon Battle,DJ Senda & Tiny-K,DJ BATTLE,NaHaNaHa vs. Gattchoon Battle,,f,
1402,1,0,0,CHOTTO KIITE NA (ZANSHIN-NA MIX),Laugh & Peace,DRUM'N BASS,ちょっときいてな(ZANSHIN-NA MIX),,f,
2001,1,0,0,Bad boy,Vivi,DANCE POP,Bad boy,,f,
2004,1,0,0,dong-tepo no.1,dj nagureo,TECHNO,dong-tepo no.1,,f,
2007,1,0,0,I'm In Love Again,dj TAKA,SPEED GARAGE,I'm In Love Again,,f,
2009,1,0,0,SOFT LANDING ON THE BODY,DJ SIMON,SPIRITUAL,SOFT LANDING ON THE BODY,,f,
2010,1,0,0,Headache,good-cool,HOUSE,Headache,,f,
2013,1,0,0,Second Style(Hip Hop Paradise),dj TAKA & DAY BREAKERS,HIPHOP,Second Style(Hip Hop Paradise),,f,
2014,1,0,0,Shine On,Shorai,SOUL,Shine On,,f,
2201,1,0,0,Brazilian Rhyme,Satoru Shionoya + Satoshi Tomiie,HOUSE,Brazilian Rhyme,,f,
3001,8257537,129,129,Don't Stop!,dj TAKA feat. JP Miles,HAPPY HANDBAG,,,f,
3004,8257537,89,179,era (nostalmix),TaQ,DRUM'N'BASS,,,f,
2203,1,0,0,Junglist King,Hirofumi Asamoto (ram jam world),DRUM'N'BASS,Junglist King,,f,
3005,8257537,154,154,Holic,TaQ,HARD TECHNO,,,f,
3006,8257537,149,149,LEADING CYBER,dj TAKA,DIGI-ROCK,,,f,
3007,8257537,135,135,Presto,Osamu Kubota,PIANO AMBIENT,,,f,
3008,8257537,179,179,R5,tiger YAMATO with ultrabeatbox,RAVE,,,f,
3009,8257537,144,144,REINCARNATION,dj TAKA,TRANCE,,,f,
3010,8257537,124,125,Schlagwerk,TaQ,BIG BEAT,,,f,
3011,8257537,134,134,Skyscraper,good-cool,EPIC HOUSE,,,f,
3012,8257537,83,83,Tangerine Stream,dj TAKA,AMBIENT,,,f,
3013,8257537,149,149,THE SAFARI,Lion MUSASHI,WORLD HOUSE,,,f,
4000,8257537,249,249,250bpm,AKIRA YAMAOKA,GABBA,,,f,
4001,8257537,60,143,ABSOLUTE,dj TAKA,EPIC TRANCE,,,f,
